Platform,Hardware,Model,Dataset,Mean Time (s),Std (s),95% CI ±,Throughput (samp/s),Throughput Std,Val Acc (%),Test Acc (%)
Colab,CPU,CNN,100%,454.53,12.46,30.95,645.0,17.97,89.95,88.51
Colab,CPU,CNN,50%,227.58,5.27,13.08,644.0,14.9,88.31,86.46
Colab,CPU,MLP,100%,139.18,0.72,1.78,2105.36,10.82,79.95,77.13
Colab,CPU,MLP,50%,71.03,0.53,1.31,2062.82,15.38,77.11,73.89
Colab,CPU,RNN,100%,157.35,0.53,1.32,1862.23,6.28,59.89,58.3
Colab,CPU,RNN,50%,79.25,0.22,0.56,1848.72,5.22,52.43,50.43
Colab,GPU,CNN,100%,118.83,0.28,0.68,2465.88,5.71,90.01,88.11
Colab,GPU,CNN,50%,60.07,0.84,2.09,2439.44,34.25,88.11,85.9
Colab,GPU,MLP,100%,115.03,0.42,1.05,2547.44,9.37,80.04,76.97
Colab,GPU,MLP,50%,55.88,0.44,1.09,2622.13,20.67,77.82,74.12
Colab,GPU,RNN,100%,115.34,0.63,1.56,2540.49,13.78,58.66,56.16
Colab,GPU,RNN,50%,57.93,0.66,1.64,2529.1,29.06,48.28,46.47
Kaggle,CPU,CNN,100%,273.71,3.13,7.76,1070.68,12.28,89.78,88.38
Kaggle,CPU,CNN,50%,133.98,2.7,6.7,1093.8,22.12,88.07,86.47
Kaggle,CPU,MLP,100%,86.29,0.48,1.18,3395.73,18.79,80.15,76.98
Kaggle,CPU,MLP,50%,44.66,0.75,1.87,3281.17,55.86,77.33,74.29
Kaggle,CPU,RNN,100%,97.44,1.65,4.09,3007.96,51.07,57.83,56.06
Kaggle,CPU,RNN,50%,48.68,0.72,1.78,3010.0,44.72,52.26,50.7
Kaggle,GPU,CNN,100%,77.02,0.64,1.58,3804.64,31.26,90.01,88.11
Kaggle,GPU,CNN,50%,38.74,0.32,0.8,3781.78,31.2,88.11,85.9
Kaggle,GPU,MLP,100%,74.84,0.19,0.46,3915.15,9.71,80.04,76.97
Kaggle,GPU,MLP,50%,36.42,0.4,0.99,4022.93,43.96,77.82,74.12
Kaggle,GPU,RNN,100%,75.11,0.37,0.92,3901.33,19.27,58.66,56.16
Kaggle,GPU,RNN,50%,37.21,0.11,0.28,3937.77,11.88,48.28,46.47
